iter	Passed	Remaining
0	1	154
1	3	158
2	4	138
3	5	127
4	6	120
5	7	114
6	8	109
7	9	112
8	10	110
9	11	107
10	12	105
11	14	102
12	15	105
13	17	105
14	18	103
15	19	100
16	20	98
17	21	96
18	22	95
19	23	94
20	24	93
21	25	91
22	26	89
23	27	87
24	29	87
25	30	85
26	31	84
27	32	82
28	33	81
29	34	79
30	35	78
31	36	77
32	37	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	69
38	43	68
39	44	67
40	45	65
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	61	48
56	62	46
57	63	45
58	64	44
59	64	43
60	65	42
61	67	41
62	68	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	99	7
93	100	6
94	100	5
95	101	4
96	102	3
97	103	2
98	105	1
99	106	0
