months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
328,48,2014-10-17,OH,250/500,1000,1406.91,0,MALE,MD,CRAFT-REPAIR,SLEEPING,HUSBAND,53300,0,2015-01-25,SINGLE VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,POLICE,SC,COLUMBUS,5,1,YES,1,2,YES,71610,6510,13020,52080,SAAB,92X,2004,Y
228,42,2006-06-27,IN,250/500,2000,1197.22,5000000,MALE,MD,MACHINE-OP-INSPCT,READING,OTHER-RELATIVE,0,0,2015-01-21,VEHICLE THEFT,,MINOR DAMAGE,POLICE,VA,RIVERWOOD,8,1,,0,0,,5070,780,780,3510,MERCEDES,E400,2007,Y
134,29,2000-09-06,OH,100/300,2000,1413.14,5000000,FEMALE,PHD,SALES,BOARD-GAMES,OWN-CHILD,35100,0,2015-02-22,MULTI-VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,POLICE,NY,COLUMBUS,7,3,NO,2,3,NO,34650,7700,3850,23100,DODGE,RAM,2007,N
256,41,1990-05-25,IL,250/500,2000,1415.74,6000000,FEMALE,PHD,ARMED-FORCES,BOARD-GAMES,UNMARRIED,48900,-62400,2015-01-10,SINGLE VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,POLICE,OH,ARLINGTON,5,1,,1,2,NO,63400,6340,6340,50720,CHEVROLET,TAHOE,2014,Y
228,44,2014-06-06,IL,500/1000,1000,1583.91,6000000,MALE,ASSOCIATE,SALES,BOARD-GAMES,UNMARRIED,66000,-46000,2015-02-17,VEHICLE THEFT,,MINOR DAMAGE,,NY,ARLINGTON,20,1,NO,0,1,NO,6500,1300,650,4550,ACCURA,RSX,2009,N
256,39,2006-10-12,OH,250/500,1000,1351.1,0,FEMALE,PHD,TECH-SUPPORT,BUNGIE-JUMPING,UNMARRIED,0,0,2015-01-02,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,FIRE,SC,ARLINGTON,19,3,NO,0,2,NO,64100,6410,6410,51280,SAAB,95,2003,Y
137,34,2000-06-04,IN,250/500,1000,1333.35,0,MALE,PHD,PROF-SPECIALTY,BOARD-GAMES,HUSBAND,0,-77000,2015-01-13,MULTI-VEHICLE COLLISION,FRONT COLLISION,MINOR DAMAGE,POLICE,NY,SPRINGFIELD,0,3,,0,0,,78650,21450,7150,50050,NISSAN,PATHFINDER,2012,N
165,37,1990-02-03,IL,100/300,1000,1137.03,0,MALE,ASSOCIATE,TECH-SUPPORT,BASE-JUMPING,UNMARRIED,0,0,2015-02-27,MULTI-VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,POLICE,VA,COLUMBUS,23,3,,2,2,YES,51590,9380,9380,32830,AUDI,A5,2015,N
27,33,1997-02-05,IL,100/300,500,1442.99,0,FEMALE,PHD,OTHER-SERVICE,GOLF,OWN-CHILD,0,0,2015-01-30,SINGLE VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,POLICE,WV,ARLINGTON,21,1,NO,1,1,YES,27700,2770,2770,22160,TOYOTA,CAMRY,2012,N
212,42,2011-07-25,IL,100/300,500,1315.68,0,MALE,PHD,PRIV-HOUSE-SERV,CAMPING,WIFE,0,-39300,2015-01-05,SINGLE VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,OTHER,NC,HILLSDALE,14,1,NO,2,1,,42300,4700,4700,32900,SAAB,92X,1996,N
235,42,2002-05-26,OH,100/300,500,1253.12,4000000,FEMALE,MASTERS,EXEC-MANAGERIAL,DANCING,OTHER-RELATIVE,38400,0,2015-01-06,SINGLE VEHICLE COLLISION,FRONT COLLISION,TOTAL LOSS,POLICE,NY,NORTHBEND,22,1,YES,2,2,,87010,7910,15820,63280,FORD,F150,2002,N
447,61,1999-05-29,OH,100/300,2000,1137.16,0,FEMALE,HIGH SCHOOL,EXEC-MANAGERIAL,SKYDIVING,OTHER-RELATIVE,0,-51000,2015-02-15,MULTI-VEHICLE COLLISION,FRONT COLLISION,MAJOR DAMAGE,FIRE,SC,SPRINGFIELD,21,3,YES,1,2,YES,114920,17680,17680,79560,AUDI,A3,2006,N
60,23,1997-11-20,OH,500/1000,500,1215.36,3000000,MALE,MD,PROTECTIVE-SERV,READING,WIFE,0,0,2015-01-22,SINGLE VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,AMBULANCE,SC,NORTHBEND,9,1,YES,1,0,NO,56520,4710,9420,42390,SAAB,95,2000,N
121,34,2012-10-26,OH,100/300,1000,936.61,0,FEMALE,MD,ARMED-FORCES,BUNGIE-JUMPING,WIFE,52800,-32800,2015-01-08,PARKED CAR,,MINOR DAMAGE,,SC,SPRINGFIELD,5,1,NO,1,1,NO,7280,1120,1120,5040,TOYOTA,HIGHLANDER,2010,N
180,38,1998-12-28,OH,250/500,2000,1301.13,0,FEMALE,COLLEGE,MACHINE-OP-INSPCT,BOARD-GAMES,NOT-IN-FAMILY,41300,-55500,2015-01-15,SINGLE VEHICLE COLLISION,REAR COLLISION,TOTAL LOSS,POLICE,SC,SPRINGFIELD,12,1,NO,0,2,YES,46200,4200,8400,33600,DODGE,NEON,2003,Y
473,58,1992-10-19,IN,100/300,2000,1131.4,0,FEMALE,MD,TRANSPORT-MOVING,MOVIES,OTHER-RELATIVE,55700,0,2015-01-29,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,OTHER,WV,HILLSDALE,12,4,YES,0,0,NO,63120,10520,10520,42080,ACCURA,MDX,1999,Y
70,26,2005-06-08,OH,500/1000,1000,1199.44,5000000,MALE,COLLEGE,MACHINE-OP-INSPCT,HIKING,OWN-CHILD,63600,0,2015-02-22,MULTI-VEHICLE COLLISION,REAR COLLISION,MAJOR DAMAGE,OTHER,NY,RIVERWOOD,0,3,,1,2,YES,52110,5790,5790,40530,NISSAN,MAXIMA,2012,N
140,31,2004-11-15,IN,500/1000,500,708.64,6000000,MALE,HIGH SCHOOL,MACHINE-OP-INSPCT,READING,UNMARRIED,53500,0,2015-01-06,SINGLE VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,POLICE,WV,NORTHBEND,9,1,NO,0,2,YES,77880,14160,7080,56640,SUBURU,LEGACY,2015,N
160,37,2014-12-28,OH,500/1000,500,1374.22,0,FEMALE,MD,CRAFT-REPAIR,YACHTING,OTHER-RELATIVE,45500,-37800,2015-01-19,SINGLE VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,OTHER,NY,NORTHBROOK,19,1,YES,1,0,NO,72930,6630,13260,53040,ACCURA,TL,2015,N
196,39,1992-08-02,IN,500/1000,2000,1475.73,0,FEMALE,HIGH SCHOOL,HANDLERS-CLEANERS,CAMPING,OWN-CHILD,57000,-27300,2015-02-22,MULTI-VEHICLE COLLISION,SIDE COLLISION,MAJOR DAMAGE,POLICE,VA,COLUMBUS,8,3,,2,0,NO,60400,6040,6040,48320,NISSAN,PATHFINDER,2014,N
460,62,2002-06-25,IN,250/500,1000,1187.96,4000000,MALE,JD,OTHER-SERVICE,BUNGIE-JUMPING,OWN-CHILD,0,0,2015-01-01,MULTI-VEHICLE COLLISION,REAR COLLISION,MINOR DAMAGE,POLICE,NY,COLUMBUS,20,3,NO,1,0,,47160,0,5240,41920,SUBURU,IMPREZA,2011,N
217,41,2005-11-27,IL,500/1000,2000,875.15,0,FEMALE,ASSOCIATE,MACHINE-OP-INSPCT,SKYDIVING,OWN-CHILD,46700,0,2015-02-10,MULTI-VEHICLE COLLISION,SIDE COLLISION,TOTAL LOSS,POLICE,SC,ARLINGTON,15,3,,1,2,,37840,0,4730,33110,ACCURA,RSX,1996,N
